Category,Setting,Diagnosis,Year,Month,Date,Count
Cancer,Ambulatory Surgery,Primary,2020,3,Mar-20,1
Cancer,Ambulatory Surgery,Primary,2020,8,Aug-20,1
Cancer,Ambulatory Surgery,Primary,2020,10,Oct-20,1
Cancer,Ambulatory Surgery,Primary,2021,7,Jul-21,1
Cancer,Ambulatory Surgery,Primary,2021,10,Oct-21,1
Cardiac Arrest,Ambulatory Surgery,Primary,2020,4,Apr-20,2
Cardiac Arrest,Ambulatory Surgery,Primary,2020,10,Oct-20,4
Cardiac Arrest,Ambulatory Surgery,Primary,2020,11,Nov-20,1
Cardiac Arrest,Ambulatory Surgery,Primary,2020,12,Dec-20,1
Cardiac Arrest,Ambulatory Surgery,Primary,2021,1,Jan-21,1
Cardiac Arrest,Ambulatory Surgery,Primary,2021,4,Apr-21,1
Cardiac Arrest,Ambulatory Surgery,Primary,2021,6,Jun-21,2
Cardiac Arrest,Ambulatory Surgery,Primary,2021,11,Nov-21,2
Diabetes,Ambulatory Surgery,Primary,2021,4,Apr-21,1
Diabetes,Ambulatory Surgery,Primary,2021,10,Oct-21,1
Diabetes,Ambulatory Surgery,Primary,2021,12,Dec-21,1
Hypertension,Ambulatory Surgery,Primary,2020,12,Dec-20,1
Hypertension,Ambulatory Surgery,Primary,2021,4,Apr-21,1
Hypertension,Ambulatory Surgery,Primary,2021,5,May-21,1
Hypertension,Ambulatory Surgery,Primary,2021,12,Dec-21,1
Pneumonia,Ambulatory Surgery,Primary,2020,1,Jan-20,1
Sepsis,Ambulatory Surgery,Primary,2020,1,Jan-20,1
Sepsis,Ambulatory Surgery,Primary,2020,4,Apr-20,1
Sepsis,Ambulatory Surgery,Primary,2020,7,Jul-20,1
Sepsis,Ambulatory Surgery,Primary,2020,12,Dec-20,1
Sepsis,Ambulatory Surgery,Primary,2021,1,Jan-21,1
Sepsis,Ambulatory Surgery,Primary,2021,2,Feb-21,3
Sepsis,Ambulatory Surgery,Primary,2021,6,Jun-21,1
Sepsis,Ambulatory Surgery,Primary,2021,8,Aug-21,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,Jul-20,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,Oct-20,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,2
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,Mar-21,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,May-21,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,3
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,Jun-20,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,Jul-20,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,Jun-21,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,Jul-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,Aug-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,Oct-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,May-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,Jun-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,Jul-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,Oct-21,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,Nov-21,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,Jan-20,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,May-20,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,Jun-20,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,Aug-20,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,9,Sep-20,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,Nov-20,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,Jan-21,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,5
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,Mar-21,4
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,May-21,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,Jun-21,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,Jul-21,4
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,Sep-21,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,Oct-21,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,Nov-21,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,2
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,Aug-20,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,Oct-20,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,Nov-20,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,Sep-21,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,Oct-21,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,2
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,Jan-21,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,Jul-21,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,Jan-20,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,May-20,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,Jun-20,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,Jul-20,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,Aug-20,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,Oct-20,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,Nov-20,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,Jan-21,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,5
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,Mar-21,5
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,May-21,4
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,Jun-21,2
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,4
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,Oct-21,3
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,Jan-20,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,Feb-20,1
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,Mar-20,9
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,Apr-20,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,May-20,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,Jun-20,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,Jul-20,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,Aug-20,2
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,9,Sep-20,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,Oct-20,6
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,Nov-20,7
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,Jan-21,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,Feb-21,7
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,Mar-21,6
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,Apr-21,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,May-21,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,Jun-21,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,Jul-21,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,Aug-21,3
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,Sep-21,1
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,Oct-21,4
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,Nov-21,5
Hypertension,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,Dec-21,8
Mood Disorders (Excluding Depression),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,Dec-20,1
