Date,Category,Setting,Count
05/2018,Anxiety,Ambulatory Surgery,1
09/2018,Anxiety,Ambulatory Surgery,1
10/2018,Anxiety,Ambulatory Surgery,1
01/2019,Anxiety,Ambulatory Surgery,1
06/2019,Anxiety,Ambulatory Surgery,1
02/2020,Anxiety,Ambulatory Surgery,1
03/2020,Anxiety,Ambulatory Surgery,1
04/2020,Anxiety,Ambulatory Surgery,1
07/2020,Anxiety,Ambulatory Surgery,1
10/2020,Anxiety,Ambulatory Surgery,1
02/2021,Anxiety,Ambulatory Surgery,2
03/2021,Anxiety,Ambulatory Surgery,1
05/2021,Anxiety,Ambulatory Surgery,1
08/2021,Anxiety,Ambulatory Surgery,1
12/2021,Anxiety,Ambulatory Surgery,3
08/2018,Asthma,Ambulatory Surgery,1
09/2018,Asthma,Ambulatory Surgery,1
11/2018,Asthma,Ambulatory Surgery,1
09/2019,Asthma,Ambulatory Surgery,1
10/2019,Asthma,Ambulatory Surgery,1
06/2020,Asthma,Ambulatory Surgery,1
07/2020,Asthma,Ambulatory Surgery,1
04/2021,Asthma,Ambulatory Surgery,1
06/2021,Asthma,Ambulatory Surgery,1
12/2021,Asthma,Ambulatory Surgery,1
01/2018,Cancer,Ambulatory Surgery,2
02/2018,Cancer,Ambulatory Surgery,1
05/2018,Cancer,Ambulatory Surgery,1
07/2018,Cancer,Ambulatory Surgery,3
08/2018,Cancer,Ambulatory Surgery,2
09/2018,Cancer,Ambulatory Surgery,2
10/2018,Cancer,Ambulatory Surgery,1
01/2019,Cancer,Ambulatory Surgery,1
02/2019,Cancer,Ambulatory Surgery,3
04/2019,Cancer,Ambulatory Surgery,2
07/2019,Cancer,Ambulatory Surgery,2
08/2019,Cancer,Ambulatory Surgery,1
09/2019,Cancer,Ambulatory Surgery,2
10/2019,Cancer,Ambulatory Surgery,1
11/2019,Cancer,Ambulatory Surgery,1
03/2020,Cancer,Ambulatory Surgery,1
04/2020,Cancer,Ambulatory Surgery,1
07/2020,Cancer,Ambulatory Surgery,1
08/2020,Cancer,Ambulatory Surgery,1
