Category,Setting,Diagnosis,Year,Month,Date,Count
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,2
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,3/2021,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Anxiety,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,3
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,1
Asthma,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,7,7/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,1
Cancer,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,11/2021,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,5,5/2020,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,6,6/2020,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,9,9/2020,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,11/2020,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,5
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,3,3/2021,4
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,5,5/2021,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,6,6/2021,2
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,4
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,11,11/2021,3
Cardiac Arrest,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,3,3/2020,2
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,8,8/2020,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,10,10/2020,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,11,11/2020,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,12,12/2020,3
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,4,4/2021,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,9,9/2021,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,10,10/2021,1
Chronic Obstructive Pulmonary Disease (COPD),Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,2,2/2020,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,4,4/2020,2
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,1,1/2021,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,2,2/2021,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,7,7/2021,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,8,8/2021,1
Depression,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2021,12,12/2021,1
Diabetes,Ambulatory Surgery,Secondary (COVID-19 Not Primary),2020,1,1/2020,1
