DATE,Leisure and Hospitality,Accommodation and Food Services,Health Care and Social Assistance
12/1/00,566,525,864
1/1/01,654,597,801
2/1/01,601,558,751
3/1/01,695,568,761
4/1/01,582,533,645
5/1/01,527,470,740
6/1/01,447,384,716
7/1/01,588,509,749
8/1/01,544,482,791
9/1/01,540,463,717
10/1/01,375,316,704
11/1/01,452,387,682
12/1/01,434,368,697
1/1/02,356,313,696
2/1/02,414,355,704
3/1/02,410,330,673
4/1/02,376,319,650
5/1/02,399,339,612
6/1/02,342,298,658
7/1/02,376,332,635
8/1/02,395,345,657
9/1/02,351,316,660
10/1/02,382,332,614
11/1/02,406,341,715
12/1/02,377,334,584
1/1/03,392,358,590
2/1/03,362,326,554
3/1/03,352,320,539
4/1/03,371,331,565
5/1/03,430,364,600
6/1/03,424,359,548
7/1/03,338,289,488
8/1/03,389,332,521
9/1/03,396,350,513
10/1/03,458,394,561
11/1/03,438,387,533
12/1/03,446,387,521
1/1/04,454,376,568
2/1/04,467,389,560
3/1/04,443,387,578
4/1/04,410,372,577
5/1/04,429,374,574
6/1/04,466,408,496
7/1/04,516,465,555
8/1/04,465,412,546
9/1/04,524,454,552
10/1/04,486,432,586
11/1/04,428,346,570
12/1/04,471,358,590
1/1/05,541,462,554
2/1/05,525,444,589
3/1/05,558,461,622
4/1/05,625,524,600
5/1/05,535,464,626
6/1/05,577,486,601
7/1/05,536,436,635
8/1/05,514,424,625
9/1/05,485,412,636
10/1/05,505,431,610
11/1/05,529,469,602
12/1/05,587,517,620
1/1/06,634,511,654
2/1/06,594,512,671
3/1/06,563,500,627
4/1/06,676,589,653
5/1/06,545,487,612
6/1/06,539,473,670
7/1/06,589,522,565
8/1/06,571,514,696
9/1/06,575,467,686
10/1/06,588,496,711
11/1/06,616,530,736
12/1/06,580,496,698
1/1/07,512,429,694
2/1/07,554,478,656
3/1/07,625,537,695
4/1/07,563,486,707
5/1/07,584,520,749
6/1/07,633,520,733
7/1/07,629,559,668
8/1/07,635,572,723
9/1/07,676,609,795
10/1/07,608,532,674
11/1/07,635,532,696
12/1/07,582,525,712
1/1/08,574,517,680
