DATE,Leisure and Hospitality,Accommodation and Food Services,Health Care and Social Assistance
12/1/00,199,133,95
1/1/01,265,191,131
2/1/01,124,93,78
3/1/01,249,207,78
4/1/01,323,257,71
5/1/01,161,125,89
6/1/01,214,186,112
7/1/01,305,207,145
8/1/01,288,166,127
9/1/01,468,269,95
10/1/01,466,310,150
11/1/01,421,301,92
12/1/01,249,198,79
1/1/02,230,185,157
2/1/02,173,144,101
3/1/02,155,120,103
4/1/02,326,214,116
5/1/02,170,145,104
6/1/02,243,215,147
7/1/02,277,226,144
8/1/02,313,199,145
9/1/02,330,211,110
10/1/02,341,272,114
11/1/02,343,223,93
12/1/02,249,178,105
1/1/03,320,242,147
2/1/03,183,135,91
3/1/03,207,151,97
4/1/03,353,217,121
5/1/03,264,191,129
6/1/03,231,204,150
7/1/03,245,172,173
8/1/03,343,230,161
9/1/03,492,306,129
10/1/03,409,292,115
11/1/03,318,210,92
12/1/03,292,227,68
1/1/04,390,318,119
2/1/04,208,162,107
3/1/04,249,199,98
4/1/04,382,257,113
5/1/04,200,144,113
6/1/04,294,242,128
7/1/04,313,239,104
8/1/04,373,255,138
9/1/04,456,234,149
10/1/04,465,341,98
11/1/04,305,217,100
12/1/04,224,172,105
1/1/05,369,303,130
2/1/05,208,162,115
3/1/05,273,226,132
4/1/05,286,203,130
5/1/05,211,159,118
6/1/05,308,250,141
7/1/05,241,204,110
8/1/05,331,235,148
9/1/05,444,262,113
10/1/05,384,278,114
11/1/05,281,188,87
12/1/05,279,220,101
1/1/06,330,291,127
2/1/06,213,178,84
3/1/06,206,168,98
4/1/06,358,242,130
5/1/06,230,156,137
6/1/06,236,204,130
7/1/06,251,199,150
8/1/06,272,189,130
9/1/06,365,214,97
10/1/06,425,307,97
11/1/06,334,247,85
12/1/06,242,194,90
1/1/07,315,225,111
2/1/07,211,161,87
3/1/07,197,140,122
4/1/07,290,189,112
5/1/07,237,178,128
6/1/07,259,215,163
7/1/07,198,165,132
8/1/07,317,255,131
9/1/07,500,352,143
10/1/07,386,261,125
11/1/07,277,165,98
12/1/07,261,205,86
1/1/08,278,206,150
2/1/08,244,191,125
3/1/08,190,126,125
4/1/08,270,187,100
5/1/08,224,160,168
6/1/08,220,182,169
7/1/08,228,196,178
8/1/08,396,253,161
9/1/08,405,270,129
10/1/08,403,284,112
11/1/08,313,231,86
12/1/08,308,241,141
1/1/09,351,281,171
2/1/09,189,155,131
3/1/09,219,181,136
4/1/09,302,230,170
5/1/09,223,196,100
6/1/09,264,221,161
7/1/09,229,185,216
8/1/09,347,246,188
9/1/09,363,250,147
10/1/09,426,288,127
11/1/09,356,257,123
12/1/09,268,212,138
1/1/10,299,255,161
2/1/10,141,124,134
3/1/10,198,140,114
4/1/10,235,167,127
5/1/10,201,151,125
6/1/10,253,190,176
7/1/10,247,176,237
8/1/10,269,182,163
9/1/10,318,196,170
10/1/10,387,282,111
11/1/10,319,230,120
12/1/10,202,164,146
1/1/11,260,199,126
2/1/11,138,120,96
3/1/11,226,169,90
